2016-03-01,,19,,,,,,,,Sunny,0.0,,,,,,,,,,,,,18
2016-03-02,,19,,,,,,,,Sunny,0.1,,,,,,,,,,,,,19
2016-03-03,,18,,,,,,,,Sunny,0.0,,,,,,,,,,,,,18
2016-03-04,,19,,,,,,,,Partly Cloudy ,0.4,,,,,,,,,,,,,19
2016-03-05,,15,,,,,,,,Patchy rain nearby,1.1,,,,,,,,,,,,,11
2016-03-06,,15,,,,,,,,Patchy rain nearby,0.4,,,,,,,,,,,,,13
2016-03-07,,16,,,,,,,,Patchy rain nearby,1.0,,,,,,,,,,,,,13
2016-03-08,,16,,,,,,,,Sunny,0.0,,,,,,,,,,,,,15
2016-03-09,,16,,,,,,,,Overcast ,0.5,,,,,,,,,,,,,16
2016-03-10,,15,,,,,,,,Sunny,0.0,,,,,,,,,,,,,15
